v_code	v_name	v_addr	lat0	lng0
bdd	oriental dance studio	prairiewood youth centre 194 - 222 restwell rd prairiewood nsw	-33.860950	150.901010
carolsco04	ormond college	university of melbourne royal parade parkville vic	-37.797950	144.957790
ogm	ornamental gardens mildura	corner sturt highway & seventh sts  mildura vic	-34.607850	143.292920
olv	our lady of victories	548 burke road  camberwell vic	-37.833750	145.056490
~osk~	our spirit - png adventures	various departure points   port moresby	NULL	NULL
lop	out of the pan	82 main road  littlehampton sa	-35.036520	138.913070
ost	outlet shopping tours	depart from next to the forum corner russell street near flinders street  melbourne vic	-37.818220	144.965060
osb	outside side bar/wake up youth hostel	cnr george & pitt street    sydney nsw	-33.882390	151.204610
osp	overseas passenger terminal	circular quay west entry via cnr george & argyle st the rocks nsw	-33.857899	151.209843
oaf	oxford arts factory	38-46 oxford st  darlinghurst nsw	-33.877850	151.213930
ozr	ozone reserve	1 adelaide terrace  perth wa	-31.958116	115.866743
ppn	pacific park newcastle east	king street  newcastle nsw	-32.927280	151.775640
ppt	pacific pines tavern	8 hotham drive  gaven qld	-27.944950	153.323720
cpc	pacific sun friends venue	quinn road (near caboolture) donnybrook qld	-27.017580	153.039100
x-pac	pact theatre	sydney street (corner railway parade)  erskineville  nsw	-33.898980	151.187080
pwo	paddington & woollahra galleries	  sydney nsw	-33.873650	151.206890
pat	paddington town hall	249a oxford st corner of oatley rd paddington nsw	-33.885030	151.226250
pcu	paddington uniting church	395 oxford street  paddington new south wales	-33.887460	151.229730
pad	paddington-woollahra rsl	220 oxford street paddington  sydney nsw	-33.885910	151.228950
pbd	paddys beer deluxe	491 kiewa street  albury  nsw	-36.081156	146.915305
pca	paintball city appin	brian rd  appin nsw	-34.181250	150.779520
pbb	paintball city bonneys	136 bonneys waterski park off st albans rd bonneys wa	-32.279441	115.853720
pcd	paintball city dingley	junction rd  dingley  vic	-37.965250	145.116250
pbm	paintball city monarto	ferries mcdonald rd  monarto sa	-35.170721	139.132175
pci	paintball city muchea	bore rd  muchea wa	-31.532140	115.947480
pnt	paintball city petrie	neilson road   qld	-27.199747	152.894413
pct	paintball city tuggeranong	corner of monaro highway & old tuggeranong rd  tuggeranong act	-33.898990	151.187350
psp	paintball skirmish	swan valley gnangara road near the corner of west henley brook  wa	-31.827000	115.999650
pcc	palace centro cinemas	39 james street  fortitude valley qld	-27.456870	153.040020
pbc	palace cinemas	the barracks petrie tce spring hill  qld	-27.465300	153.013480
mtr	palace theatre	20-30 bourke st  melbourne vic	-37.811440	144.972290
x-mtr 	palace theatre (formerly metro melbourne)	20-30 bourke st melbourne  vic	-37.811440	144.972290
x-pgm	palacio grande	  richmond vic	-37.818640	145.001470
pal	palais 85	85 south perth esplanade  south perth wa	-31.971830	115.853750
phs	palais hepburn springs	11 main road  hepburn springs vic	-37.323550	144.141340
npr	palais royale	692 hunter street  newcastle nsw	-32.926580	151.763390
x-pal	palais theatre	lower esplanade  st kilda vic	-37.866790	144.975140
ccp	palladium at crown	level 1 8 whiteman street crown entertainment complex melbourne vic	-37.823550	144.959950
~pmg~	palm meadows golf course	1 palm meadows drive carrara  queensland	-28.027650	153.377550
hyc	palmer coolum resort	1 warran road  yaroomba qld	-26.549930	153.093690
blc	palmer wines	1271 caves road  dunsbourough  wa	-33.624110	115.073940
pmh	palmwoods memorial hall	main street  palmwoods qld	-26.689580	152.960390
pph	pampered hens workshop	106-108 crystal street  petersham nsw	-33.893010	151.157660
pbt	panthers bathurst	132 piper street bathurst  sydney nsw	-33.421231	149.574298
ppm	panthers port macquarie	settlement city 1 bay st  port macquarie nsw	-31.427400	152.896710
pmp	panthers port macquarie	settlement city 1 bay st  port macquarie nsw	-31.427400	152.896710
pnc	paparazzi niteclub & bar	level 1 40 franklin st  manuka act	-35.318450	149.131640
pjb	paradise jet boating	jetty c mariners cove marina seaworld drive main beach qld	-27.956090	153.426780
ppr	paradise picnic reserve	barham river road   apollo bay vic	-38.740010	143.623430
pex	parkes ex-services club	short st  parkes nsw	-33.140360	148.174520
pkr	parkroyal - darling harbour	  sydney nsw	-33.873650	151.206890
pwt	parkwood tavern	cnr. olsen & wintergreen ave  parkwood qld	-27.958540	153.378930
pho	parliament house	visitor services - operations and facilities parliament house canberra act	-35.282000	149.128680
~pmc~	parramatta leagues club	13-15 o'connell street  parramatta nsw	-33.806480	151.001820
ppc	parramatta pcyc	12 hassall street  parramatta nsw	-33.817870	151.008250
prl	parramatta rsl	corner macquarie and o'connell streets  parramatta nsw	-33.814360	150.999830
pth 	parramatta town hall	30 darcy st  parramatta  nsw	-33.816920	151.004830
pwc	parramatta workers club	163 - 165 george street  parramatta nsw	-33.816940	151.014800
pdo	patrick cellar door	coonawarra   sa	-37.291270	140.839000
pob	pedal oz	     wa	-27.672820	121.628310
~bbe~	pelican beach	waterways drive  main beach  qld	-27.992250	153.424862
pel	pelican lawn at albert park	aughtie drive  albert park  vic	-37.846510	144.966150
dck	peninsula	shed 14 161 harbour esplanade central pier docklands vic	-37.815500	144.944890
cpd	peninsula central pier	tenancy 15 shed 9 central pier 161 harbour esplanade docklands vic	-37.816680	144.942970
phc 	pennant hills community centre	yarrara rd  pennant hills nsw	-33.735850	151.074080
prt	penrith [club paceway]	cnr. mulgoa road & ramsey street  penrith nsw	-33.862100	150.642940
pep	penrith paceway	141 - 147 station street  penrith showground  nsw	-33.756210	150.692291
ppw	penrith panthers	    penrith nsw	-33.752180	150.691050
prg	penrith regional gallery	86 river road   emu plains nsw	-33.758280	150.665010
prs	penrith rsl club	8 tindale street  penrith nsw	-33.755150	150.698230
pps	pentridge prison d division victoria	departs pentridge prison d division corner urquhart street & wardens walk south  coburg vic	-37.737060	144.967589
pen	pepper stadium penrith	penrith mulgoa rd  (cnr ransley st)  nsw	-33.757080	150.686250
pml	peppers moonah links resort	peter thompson drive fingal mornington peninsula vic	-38.406520	144.853990
npa	performing arts newcastle	5 auckland st  newcastle nsw	-32.927600	151.771110
ven	performing arts newcastle	5 auckland st  newcaslte nsw	-32.927600	151.771110
per	perimoor	123 cleggettt road  littlehampton sa	-35.040308	138.848881
x-pls	perry lakes stadium	121 meagher drive  floreat wa	-31.945580	115.787560
esplanade	perth	   wa	-27.672820	121.628310
wpa	perth arena	700 wellington street  perth wa	-31.948430	115.852110
ce	perth cbd	  perth wa	NULL	NULL
x-pch	perth concert hall	5 st georges terrace  perth wa	-31.957360	115.864240
chp	perth concert hall	5 st georges terrace  perth wa	-31.957360	115.864240
pcw	perth concert hall	5 st georges terrace  perth wa	-31.957360	115.864240
pcp	perth convention & exhibition centre	21 mounts bay road  perth wa	-31.956080	115.853220
pce	perth convention and exhibition centre	21 mounts bay road  perth wa	-31.956080	115.853220
rtp	perth convention and exhibition centre riverside theatre	riverside theatre 21 mounts bay road  wa	-31.956080	115.853220
gvp	perth gift vouchers	   .	-25.274400	133.775140
pae	perth gift vouchers	   wa	-27.672820	121.628310
poe	perth gift vouchers	   wa	-27.672820	121.628310
ple	perth gift vouchers	   wa	-27.672820	121.628310
pib	perth institute of contemporary arts performance space	174-176 william street  perth wa	-31.949773	115.859002
psm	perth modern school	90 roberts road  subiaco wa	-31.944558	115.838498
~phl~	perth stretch hummer	mobile business they come to you  perth wa	-31.952850	115.857340
thl	perth town hall	cnr hay & barrack st  perth  wa	-31.954639	115.860281
pwf	perth writers festival precinct	uwa 35 stirling highway  crawley  wa	-31.978849	115.818159
x-zoo	perth zoo	20 labouchere rd  south perth wa	-31.973750	115.851280
pez	perth zoo	20 labouchere rd  south perth wa	-31.973750	115.851280
pfa	peter forsyth auditorium	francis street  glebe nsw	-33.883610	151.192940
psh 	petersham town hall	107 crystal street petersham sydney nsw	-33.894950	151.157580
phi	philip island	back beach road  phillip island vic	-38.496660	145.220120
x-phi	philip island	back beach road  phillip island vic	-38.496660	145.220120
pig	phillip island	phillip island grand prix circuit back beach road cowes vic	-38.496690	145.251220
piz	piazza surfers paradise	gold coast highway  surfers paradise  qld	-28.000960	153.426740
pbw	picton bowling club	cliffe street   picton nsw	-34.166960	150.611310
bpt	picture this ballooning	take off and landing locations vary due to wind direction but flights always take in the scenery of the melbourne cbd port phillip bay and the surrounding mountain ranges   vic	-37.812869	144.992874
pwy	pier 2/3	13a hickson road  walsh bay nsw	-33.857141	151.204721
prw	pier 26	king street wharf   nsw	-33.866840	151.202080
phf	pier live frankston	1 davey street  frankston vic	-38.144680	145.119550
plp	pine lodge equestrian park	84-112 taylor road  thornlands qld	-27.576384	153.232831
prp	pine rivers park brisbane	gympie road  strathpine qld	-27.302222	152.988820
gpinkeleph	pink elephant bar	42 ferny ave  surfers paradise qld	-27.999390	153.426590
pie	pinnacles equestrian centre	420 round mountain road pinnacles  qld	-19.437800	146.695910
pip	pip’s cooking school	20 margaret street (opposite railway station) moonee ponds vic	-37.765930	144.919370
pir	pirate attack	kiosk 3 wharf 5  circular quay nsw	-33.860569	151.210505
pek	pirate attack	kiosk 3 wharf 5  circular quay nsw	-33.860569	151.210505
par	pirtek stadium	o&#39;connell street  parramatta nsw	-33.808150	150.999710
puc	pitt st uniting church	264 pitt st  sydney nsw	-33.871538	151.208265
pwr	pittwater rsl 	82 mona vale road mona vale nsw nsw	-33.677740	151.293950
pla	platinum nightclub	19 victoria ave ( broadbeach mall)  broadbeach qld	-28.029470	153.431640
ply	players bar	25 mandurah tce  mandurah wa	-32.533230	115.719170
pay	players international	flinders parade  gladstone qld	-23.835760	151.255400
pyf	playford alive oval	goodman road  elizabeth sa	-34.722253	138.663642
x-pla	playhouse theatre	3 pier st  perth wa	-31.955850	115.861900
qph	playhouse theatre - qpac	corner grey and melbourne streets  south bank qld	-25.816670	153.083330
plc	playhouse theatre canberra	civic square london circuit canberra act	-35.283140	149.130540
ohp	playhouse sydney opera house	bennelong point  sydney nsw	-33.857596	151.214908
cvp	plaza ballroom - brisbane convention & exhibition centre	corner merivale and glenelg streets southbank  qld	-27.476960	153.018887
wer	plaza hotel	corner derrimut and heaths roads  werribee vic	-37.877620	144.682750
pln	plenary mcec vic	melbourne convention and exhibition centre 1 convention centre place south wharf vic	-37.825000	144.952000
pod	pod (tunnel) nightclub	590 little bourke street  melbourne vic	-37.815480	144.954650
pcm	poet's corner wines	carigmoor road  mudgee nsw	-32.590520	149.588760
ptc	point cook airfield	off point cook road melways ref 198 j6  vic	-37.471310	144.785150
gft	point cook flying club	   vic	-37.471310	144.785150
pch	point cook homestead ghost tour victoria	point cook homestead 1 point cook homestead road  point cook vic	-37.926212	144.792946
pnq	point nepean quarantine station	  point nepean vic	-38.370200	144.845250
bpo	poolside at crown metropol perth	poolside crown metropol perth great eastern highway burswood wa	-31.963170	115.897130
pcs	porsche centre sydney south	 470 gardeners road alexandria sydney nsw	-33.920980	151.194120
pag	port augusta golf club	hamilton road  port augusta sa	-32.479276	137.742923
pdd	port denison harbour	port denison point leander drive dongara wa	-29.273530	114.920960
pdc	port douglas community hall	mowbray street  port douglas qld	-16.485660	145.464570
phe	port hedland - town oval	off mcgregor street   port hedland wa	-20.308160	118.615320
