sub,state,postcode
albion,QLD,4010
albion,QLD,4822
albion bc,QLD,4010
albion dc,QLD,4010
albion park,NSW,2527
albion park rail,NSW,2527
albury,NSW,2640
alcomie,TAS,7330
aldavilla,NSW,2440
alderley,QLD,4051
aldershot,QLD,4650
aldersyde,WA,6306
aldgate,SA,5154
aldinga,SA,5173
aldinga beach,SA,5173
aldoga,QLD,4694
alectown,NSW,2870
alexander heights,WA,6064
alexandra,VIC,3714
alexandra,QLD,4740
alexandra bridge,WA,6288
alexandra headland,QLD,4572
alexandra hills,QLD,4161
alexandria,NSW,1435
alexandria,NSW,2015
alford,SA,5555
alfords point,NSW,2234
alfred cove,WA,6154
alfredton,VIC,3350
alfredtown,NSW,2650
algester,QLD,4115
ali curung,NT,0872
alice,NSW,2469
alice creek,QLD,4610
alice river,QLD,4817
alice springs,NT,0872
alice springs,NT,0870
alice springs,NT,0871
alison,NSW,2420
alison,NSW,2259
alkimos,WA,6038
allambee,VIC,3823
allambee reserve,VIC,3871
allambee south,VIC,3871
allambie heights,NSW,2100
allan,QLD,4370
allandale,NSW,2320
allandale,QLD,4310
allanooka,WA,6525
allans flat,VIC,3691
allansford,VIC,3277
allanson,WA,6225
allawah,NSW,2218
alleena,NSW,2671
allenby gardens,SA,5009
allendale,VIC,3364
allendale east,SA,5291
allendale north,SA,5373
allens rivulet,TAS,7150
allenstown,QLD,4700
allenview,QLD,4285
allestree,VIC,3305
allgomera,NSW,2441
alligator creek,QLD,4740
alligator creek,QLD,4816
allingham,QLD,4850
allora,QLD,4362
alloway,QLD,4670
allworth,NSW,2425
allynbrook,NSW,2311
alma,VIC,3465
alma,SA,5401
alma,WA,6535
alma park,NSW,2659
almaden,QLD,4871
almonds,VIC,3727
almurta,VIC,3979
alonnah,TAS,7150
aloomba,QLD,4871
alpha,QLD,4724
alphington,VIC,3078
alpine,NSW,2575
alsace,QLD,4702
alstonvale,NSW,2477
alstonville,NSW,2477
alton downs,QLD,4702
altona,VIC,3018
altona,SA,5351
altona east,VIC,3025
altona gate,VIC,3025
altona meadows,VIC,3028
altona north,VIC,3025
alumy creek,NSW,2460
alva,QLD,4807
alvie,VIC,3249
alyangula,NT,0885
amamoor,QLD,4570
amamoor creek,QLD,4570
amaroo,QLD,4829
amaroo,ACT,2914
amaroo,NSW,2866
amata,SA,0872
ambania,WA,6632
ambarvale,NSW,2560
ambergate,WA,6280
amberley,QLD,4306
ambleside,TAS,7310
ambrose,QLD,4695
amby,QLD,4462
amelup,WA,6338
american beach,SA,5222
american river,SA,5221
amherst,VIC,3371
amiens,QLD,4380
amity,QLD,4183
amity point,QLD,4183
amor,VIC,3825
amosfield,NSW,4380
amphitheatre,VIC,3468
amyton,SA,5431
anabranch north,NSW,2648
anabranch south,NSW,2648
anakie,VIC,3213
anakie,QLD,4702
anama,SA,5464
anambah,NSW,2320
ancona,VIC,3715
andamooka,SA,5722
andergrove,QLD,4740
anderleigh,QLD,4570
anderson,VIC,3995
ando,NSW,2631
andover,TAS,7120
andrews,SA,5454
andrews farm,SA,5114
andromache,QLD,4800
anduramba,QLD,4355
anembo,NSW,2621
angas plains,SA,5255
angas valley,SA,5238
angaston,SA,5353
angelo river,WA,6642
angle park,SA,5010
angle vale,SA,5117
angledale,NSW,2550
angledool,NSW,2834
anglers reach,NSW,2629
anglers rest,VIC,3898
anglesea,VIC,3230
angourie,NSW,2464
angurugu,NT,0822
anketell,WA,6167
anna bay,NSW,2316
annadale,SA,5356
annandale,NSW,2038
annandale,QLD,4814
annangrove,NSW,2156
annerley,QLD,4103
anniebrook,WA,6280
annuello,VIC,3549
ansons bay,TAS,7264
anstead,QLD,4070
antechamber bay,SA,5222
anthony,QLD,4310
antigua,QLD,4650
antill ponds,TAS,7120
antonymyre,WA,6714
antwerp,VIC,3414
anula,NT,0812
apamurra,SA,5237
apoinga,SA,5413
apollo bay,VIC,3233
apollo bay,TAS,7150
appila,SA,5480
appin,VIC,3579
appin,NSW,2560
appin south,VIC,3579
apple tree creek,QLD,4660
apple tree flat,NSW,2850
appleby,NSW,2340
applecross,WA,6153
applecross,WA,6953
applecross,WA,6153
applecross north,WA,6153
applethorpe,QLD,4378
appletree flat,NSW,2330
apslawn,TAS,7190
apsley,NSW,2820
apsley,VIC,3319
apsley,TAS,7030
arable,NSW,2630
arakoon,NSW,2431
araluen,QLD,4570
araluen,NSW,2622
araluen,NT,0870
aramac,QLD,4726
aramara,QLD,4620
arana hills,QLD,4054
aranbanga,QLD,4625
aranda,ACT,2614
arapiles,VIC,3409
ararat,VIC,3377
aratula,NSW,2714
aratula,QLD,4309
arawata,VIC,3951
arbouin,QLD,4892
arbuckle,VIC,3858
arcadia,VIC,3631
arcadia,NSW,2159
arcadia,QLD,4819
arcadia south,VIC,3631
arcadia vale,NSW,2283
archdale,VIC,3475
archdale junction,VIC,3475
archer,NT,0830
archer river,QLD,4892
archerfield,QLD,4108
archerfield bc,QLD,4108
archerton,VIC,3723
archies creek,VIC,3995
ardath,WA,6419
ardeer,VIC,3022
ardglen,NSW,2338
arding,NSW,2358
ardlethan,NSW,2665
ardmona,VIC,3629
ardross,WA,6153
ardrossan,SA,5571
areegra,VIC,3480
areyonga,NT,0872
argalong,NSW,2720
argenton,NSW,2284
argents hill,NSW,2449
argoon,NSW,2707
argoon,QLD,4702
argyle,VIC,3523
argyle,WA,6239
argyle,NSW,2350
argyll,QLD,4721
ariah park,NSW,2665
arkaroola village,SA,5701
arkell,NSW,2795
arkstone,NSW,2795
armadale,VIC,3143
armadale,WA,6112
armadale,WA,6992
armadale north,VIC,3143
armagh,SA,5453
armatree,NSW,2828
armidale,NSW,2350
armstrong,VIC,3377
armstrong beach,QLD,4737
armstrong creek,VIC,3217
armstrong creek,QLD,4520
arncliffe,NSW,2205
arndell park,NSW,2148
arno bay,SA,5603
arnold,VIC,3551
arnold west,VIC,3551
aroona,QLD,4551
arrawarra,NSW,2456
arrawarra headland,NSW,2456
arriga,QLD,4880
arrino,WA,6519
arrowsmith,WA,6525
arrowsmith east,WA,6519
artarmon,NSW,1570
artarmon,NSW,2064
arthur river,TAS,7330
arthur river,WA,6315
arthurs creek,VIC,3099
arthurs lake,TAS,7030
arthurs seat,VIC,3936
arthurton,SA,5572
arthurville,NSW,2820
arumbera,NT,0873
arumpo,NSW,2715
arundel,QLD,4214
arundel dc,QLD,4214
ascot,VIC,3364
ascot,VIC,3551
ascot,QLD,4007
ascot,WA,6104
ascot park,SA,5043
ascot vale,VIC,3032
ashbourne,SA,5157
ashbourne,VIC,3442
ashburton,VIC,3147
ashbury,NSW,2193
ashby,WA,6065
ashby,NSW,2463
ashby heights,NSW,2463
ashby island,NSW,2463
ashcroft,NSW,2168
ashendon,WA,6111
ashfield,NSW,1800
ashfield,NSW,2131
ashfield,QLD,4670
ashfield,WA,6054
ashford,NSW,2361
ashford,SA,5035
ashgrove,QLD,4060
ashgrove east,QLD,4060
ashley,NSW,2400
ashmont,NSW,2650
ashmore,QLD,4214
ashmore city,QLD,4214
ashton,SA,5137
ashtonfield,NSW,2323
ashville,SA,5259
ashwell,QLD,4340
ashwood,VIC,3147
aspendale,VIC,3195
aspendale gardens,VIC,3195
aspley,QLD,4034
asquith,NSW,2077
athelstone,SA,5076
atherton,QLD,4883
athlone,VIC,3818
athol,QLD,4350
athol park,SA,5012
atholwood,NSW,2361
atkinsons dam,QLD,4311
attadale,WA,6156
attunga,NSW,2345
attwood,VIC,3049
atwell,WA,6164
aubigny,QLD,4401
aubin grove,WA,6164
aubrey,VIC,3393
auburn,VIC,3123
auburn,NSW,1835
auburn,SA,5451
auburn,NSW,2144
auburn south,VIC,3122
auburn vale,NSW,2360
auchenflower,QLD,4066
auchmore,VIC,3570
augathella,QLD,4477
augusta,WA,6290
augustine heights,QLD,4300
auldana,SA,5072
aurukun,QLD,4892
austinmer,NSW,2515
austins ferry,TAS,7011
austinville,QLD,4213
austral,NSW,2179
austral eden,NSW,2440
australia fair,QLD,4215
australia plains,SA,5374
australia square,NSW,1215
australind,WA,6233
avalon,VIC,3212
avalon beach,NSW,2107
aveley,WA,6069
avenel,VIC,3664
avenell heights,QLD,4670
avenue range,SA,5273
avisford,NSW,2850
avoca,NSW,2577
avoca,VIC,3467
avoca,QLD,4670
avoca,TAS,7213
avoca beach,NSW,2251
avoca dell,SA,5253
avoca vale,QLD,4306
avon,NSW,2574
avon,SA,5501
avon plains,VIC,3477
avondale,NSW,2530
avondale,QLD,4670
avondale heights,VIC,3034
avonmore,VIC,3559
avonside,NSW,2628
avonsleigh,VIC,3782
awaba,NSW,2283
axe creek,VIC,3551
axedale,VIC,3551
aylmerton,NSW,2575
ayr,QLD,4807
ayrford,VIC,3268
baan baa,NSW,2390
baandee,WA,6412
babakin,WA,6428
babbage island,WA,6701
babinda,QLD,4861
babinda,NSW,2825
babyl creek,NSW,2470
bacchus marsh,VIC,3340
back creek,NSW,2422
back creek,NSW,2372
back creek,NSW,2484
back creek,NSW,2622
back creek,NSW,2671
back creek,NSW,2390
back forest,NSW,2535
back plains,QLD,4361
back valley,SA,5211
backmede,NSW,2470
backwater,NSW,2365
backy point,SA,5601
baddaginnie,VIC,3670
baden,TAS,7120
badgebup,WA,6317
badger creek,VIC,3777
badger head,TAS,7270
badgerin rock,WA,6475
badgerys creek,NSW,2555
badgin,WA,6302
badgingarra,WA,6521
badja,NSW,2630
badjaling,WA,6383
badu island,QLD,4875
bael bael,VIC,3579
baerami,NSW,2333
baerami creek,NSW,2333
baffle creek,QLD,4674
baffle west,QLD,4454
bagdad,TAS,7030
bagnoo,NSW,2446
bago,NSW,2446
bagot well,SA,5373
bagotville,NSW,2477
bagshot,VIC,3551
bagshot north,VIC,3551
bahgallah,VIC,3312
bahrs scrub,QLD,4207
bailieston,VIC,3608
bailup,WA,6082
baird bay,SA,5671
bairnsdale,VIC,3875
bajool,QLD,4699
bakara,SA,5354
bakara well,SA,5354
bakers beach,TAS,7307
bakers creek,QLD,4740
bakers creek,NSW,2447
bakers creek,NSW,2422
bakers creek,NSW,2359
bakers hill,WA,6562
bakers swamp,NSW,2820
bakery hill,VIC,3354
bakery hill,VIC,3350
bakewell,NT,0832
baking board,QLD,4413
balaclava,VIC,3183
balaclava,NSW,2575
balaklava,SA,5461
balala,NSW,2358
balbarrup,WA,6258
balberra,QLD,4740
balcatta,WA,6021
balcatta,WA,6914
balcolyn,NSW,2264
balcomba,QLD,4702
bald blair,NSW,2365
bald hills,QLD,4036
bald hills,SA,5203
bald hills,NSW,2549
bald hills,VIC,3364
bald knob,QLD,4552
bald nob,NSW,2370
bald ridge,NSW,2795
baldersleigh,NSW,2365
baldina,SA,5417
baldivis,WA,6171
baldry,NSW,2867
balfours peak,NSW,2403
balga,WA,6061
balgal beach,QLD,4816
balgowan,SA,5573
balgowan,QLD,4401
balgowlah,NSW,2093
balgowlah heights,NSW,2093
balgownie,NSW,2519
balhannah,SA,5242
balickera,NSW,2324
balingup,WA,6253
balintore,VIC,3249
balkuling,WA,6383
ball bay,QLD,4741
balla balla,WA,6714
balladong,WA,6302
balladonia,WA,6443
balladoran,NSW,2822
ballajura,WA,6066
ballalaba,NSW,2622
ballan,VIC,3342
ballandean,QLD,4382
ballangeich,VIC,3279
ballapur,VIC,3483
ballarat,VIC,3353
ballarat,VIC,3350
ballarat central,VIC,3350
ballarat east,VIC,3350
ballarat mc,VIC,3354
ballarat north,VIC,3350
ballarat west,VIC,3350
ballard,QLD,4352
ballaroo,QLD,4455
ballast head,SA,5221
ballaying,WA,6315
balldale,NSW,2646
ballendella,VIC,3561
ballengarra,NSW,2441
balliang,VIC,3340
balliang east,VIC,3340
ballidu,WA,6606
ballimore,NSW,2830
ballina,NSW,2478
ballogie,QLD,4610
bally bally,WA,6304
ballyroe,NSW,2795
ballyrogan,VIC,3375
balmain,NSW,2041
balmain east,NSW,2041
balmattum,VIC,3666
balmoral,NSW,2283
balmoral,NSW,2571
balmoral,QLD,4171
balmoral,VIC,3407
balmoral ridge,QLD,4552
balnagowan,QLD,4740
balnarring,VIC,3926
balnarring beach,VIC,3926
balook,VIC,3971
balranald,NSW,2715
balwyn,VIC,3103
balwyn east,VIC,3103
balwyn north,VIC,3104
bamaga,QLD,4876
bamarang,NSW,2540
bamawm,VIC,3561
bamawm extension,VIC,3564
bamboo creek,QLD,4860
bambra,VIC,3241
bambun,WA,6503
bamganie,VIC,3333
ban ban,QLD,4625
ban ban springs,QLD,4625
banana,QLD,4702
banca,TAS,7265
bancroft,QLD,4630
banda banda,NSW,2446
bandiana,VIC,3691
bandiana milpo,VIC,3694
bandon grove,NSW,2420
bandy creek,WA,6450
bandya,WA,6440
bangadang,NSW,2729
bangalee,QLD,4703
bangalee,NSW,2541
bangalow,NSW,2479
bangerang,VIC,3393
bangham,SA,5268
bangheet,NSW,2404
bangholme,VIC,3175
bango,NSW,2582
bangor,NSW,2234
bangor,SA,5481
bangor,TAS,7267
banjup,WA,6164
banks,ACT,2906
banks creek,QLD,4306
banks pocket,QLD,4570
banksia,NSW,2216
banksia beach,QLD,4507
banksia grove,WA,6031
banksia park,SA,5091
banksia peninsula,VIC,3875
banksiadale,WA,6213
banksmeadow,NSW,2019
bankstown,NSW,2200
bankstown,NSW,1885
bankstown aerodrome,NSW,2200
bankstown square,NSW,2200
bannaby,NSW,2580
bannerton,VIC,3549
bannister,WA,6390
bannister,NSW,2580
bannockburn,QLD,4207
bannockburn,VIC,3331
banoon,NSW,2347
banora point,NSW,2486
banyabba,NSW,2460
banyan,VIC,3485
banyena,VIC,3388
banyo,QLD,4014
banyule,VIC,3084
bapaume,QLD,4352
bar beach,NSW,2300
bar point,NSW,2083
bara,NSW,2850
barabba,SA,5460
baradine,NSW,2396
baralaba,QLD,4702
barambah,QLD,4601
baranduda,VIC,3691
barangaroo,NSW,2000
barbalin,WA,6479
barberton,WA,6510
barcaldine,QLD,4725
barcoongere,NSW,2460
barden ridge,NSW,2234
bardia,NSW,2565
bardon,QLD,4065
bardwell park,NSW,2207
bardwell valley,NSW,2207
baree,QLD,4714
bareena,VIC,3220
barellan,NSW,2665
barellan point,QLD,4306
barfold,VIC,3444
bargara,QLD,4670
bargo,NSW,2574
barham,NSW,2732
barigan,NSW,2850
baringhup,VIC,3463
baringhup west,VIC,3463
barinia,SA,5453
barjarg,VIC,3723
barker creek flat,QLD,4615
barkers creek,VIC,3451
barkers vale,NSW,2474
barkly,VIC,3384
barkstead,VIC,3364
barlil,QLD,4605
barlows hill,QLD,4703
barlyne,QLD,4625
barmah,VIC,3639
barmaryee,QLD,4703
barmedman,NSW,2668
barmera,SA,5345
barmoya,QLD,4703
barna,SA,5641
barnadown,VIC,3557
barnard,QLD,4702
barnawartha,VIC,3688
barnawartha north,VIC,3691
barndioota,SA,5434
barnes bay,TAS,7150
barney point,QLD,4680
barney view,QLD,4287
barneys reef,NSW,2852
barnsley,NSW,2278
baromi,VIC,3871
barongarook,VIC,3249
barongarook west,VIC,3249
barooga,NSW,3644
baroota,SA,5495
barossa goldfields,SA,5351
barraba,NSW,2347
barrabool,VIC,3221
barrabup,WA,6275
barrack heights,NSW,2528
barrack point,NSW,2528
barraganyatti,NSW,2441
barragga bay,NSW,2546
barragup,WA,6209
barrakee,VIC,3525
barramornie,QLD,4416
barramunga,VIC,3249
barraport,VIC,3537
barraport west,VIC,3537
barratta,NSW,2710
barratta,QLD,4809
barren grounds,NSW,2577
barrengarry,NSW,2577
barretta,TAS,7054
barretts creek,NSW,2460
barrine,QLD,4872
barringella,NSW,2540
barringha,QLD,4816
barrington,NSW,2422
barrington,TAS,7306
barrington tops,NSW,2422
barringun,QLD,4490
barron,QLD,4878
barrow creek,NT,0872
barrow island,WA,6712
barry,NSW,2340
barry,NSW,2799
barrys reef,VIC,3458
bartle frere,QLD,4861
barton,ACT,2600
barunah park,VIC,3329
barunah plains,VIC,3329
barunga gap,SA,5520
barwang,NSW,2594
barwidgee,VIC,3737
barwite,VIC,3722
barwon,NSW,2396
barwon downs,VIC,3243
barwon heads,VIC,3227
baryulgil,NSW,2460
basalt,QLD,4820
basalt,VIC,3460
basilisk,QLD,4871
basin pocket,QLD,4305
basin view,NSW,2540
baskerville,WA,6056
basket range,SA,5138
bass,VIC,3991
bass hill,NSW,2197
bassendean,WA,6934
bassendean,NSW,2365
bassendean,WA,6054
bassendean dc,WA,6942
batar creek,NSW,2439
batchelor,NT,0845
bateau bay,NSW,2261
batehaven,NSW,2536
bateman,WA,6150
batemans bay,NSW,2536
batesford,VIC,3213
bathampton,NSW,2795
bathumi,VIC,3730
bathurst,NSW,2795
bathurst west,NSW,2795
batlow,NSW,2730
batman,VIC,3058
battery hill,QLD,4551
battery point,TAS,7004
baudin,WA,6284
baudin beach,SA,5222
bauhinia,QLD,4718
baulkham hills,NSW,1755
baulkham hills,NSW,2153
bauple,QLD,4650
bauple forest,QLD,4650
baw baw,NSW,2580
baw baw,VIC,3833
baw baw village,VIC,3833
bawley point,NSW,2539
baxter,VIC,3911
baxters ridge,NSW,2422
bay of shoals,SA,5223
bay village,NSW,2261
bayindeen,VIC,3375
bayles,VIC,3981
baynton,WA,6714
baynton,VIC,3444
baynton east,VIC,3444
bayonet head,WA,6330
bayrick,QLD,4478
bayswater,VIC,3153
bayswater,WA,6053
bayswater,WA,6933
bayswater north,VIC,3153
bayview,NT,0820
bayview,NSW,2104
bayview heights,QLD,4868
beachlands,WA,6530
beachmere,QLD,4510
beachport,SA,5280
beacon,WA,6472
beacon hill,NSW,2100
beaconsfield,TAS,7270
beaconsfield,WA,6162
beaconsfield,NSW,2015
beaconsfield,VIC,3807
beaconsfield,QLD,4740
beaconsfield upper,VIC,3808
beadell,WA,6440
bealiba,VIC,3475
bean creek,NSW,2469
bearbong,NSW,2827
beard,ACT,2620
bearii,VIC,3641
bears lagoon,VIC,3517
beatrice,QLD,4886
beatty,SA,5320
beauchamp,VIC,3579
beaudesert,QLD,4285
beaufort,VIC,3373
beaufort,SA,5550
beaufort river,WA,6394
beaumaris,VIC,3193
beaumaris,TAS,7215
beaumont,NSW,2577
beaumont,SA,5066
beaumont,WA,6450
beaumont hills,NSW,2155
beaumonts,SA,5320
beauty point,TAS,7270
beaver rock,QLD,4650
beazleys bridge,VIC,3477
beckenham,WA,6107
beckom,NSW,2665
bective,NSW,2340
bectric,NSW,2665
bedford,WA,6052
bedford park,SA,5042
bedford road,VIC,3135
bedfordale,WA,6112
bedgerabong,NSW,2871
bedourie,QLD,4829
beeac,VIC,3251
beebo,QLD,4385
beech forest,VIC,3237
beechboro,WA,6063
beecher,QLD,4680
beechford,TAS,7252
beechina,WA,6556
beechmont,QLD,4211
beechwood,NSW,2446
beechworth,VIC,3747
beecroft,NSW,2119
beecroft peninsula,NSW,2540
beedelup,WA,6260
beela,WA,6224
beelbangera,NSW,2680
beelbi creek,QLD,4659
beelerup,WA,6239
beeliar,WA,6164
beemunnel,NSW,2824
beenaam valley,QLD,4570
beenak,VIC,3139
beenleigh,QLD,4207
beenong,WA,6353
beerburrum,QLD,4517
beermullah,WA,6503
beeron,QLD,4626
beerwah,QLD,4519
beetaloo valley,SA,5523
bega,NSW,2550
beggan beggan,NSW,2587
begonia,QLD,4487
beilba,QLD,4454
bejoording,WA,6566
belair,SA,5052
belalie east,SA,5491
belalie north,SA,5491
belanglo,NSW,2577
belbora,NSW,2422
belconnen,ACT,2616
belconnen,ACT,2617
belconnen dc,ACT,2617
beldon,WA,6027
belfield,NSW,2191
belford,NSW,2335
belfrayden,NSW,2650
belgian gardens,QLD,4810
belgrave,VIC,3160
belgrave heights,VIC,3160
belgrave south,VIC,3160
belgravia,NSW,2800
belhus,WA,6069
belimbla park,NSW,2570
belivah,QLD,4207
bell,QLD,4408
bell,NSW,2786
bell bay,TAS,7253
bell park,VIC,3215
bell post hill,VIC,3215
bella creek,QLD,4570
bella vista,NSW,2153
bellamack,NT,0832
bellambi,NSW,2518
bellangry,NSW,2446
bellara,QLD,4507
bellarine,VIC,3223
bellata,NSW,2397
bellawongarah,NSW,2535
bellbird,NSW,2325
bellbird creek,VIC,3889
bellbird heights,NSW,2325
bellbird park,QLD,4300
bellbowrie,QLD,4070
bellbrae,VIC,3228
bellbridge,VIC,3691
bellbrook,NSW,2440
bellellen,VIC,3381
bellenden ker,QLD,4871
bellerive,TAS,7018
bellevue,WA,6056
bellevue,QLD,4892
bellevue heights,SA,5050
bellevue hill,NSW,2023
bellfield,VIC,3381
bellfield,VIC,3081
belli park,QLD,4562
bellimbopinni,NSW,2440
bellingen,NSW,2454
bellingham,TAS,7254
bellmere,QLD,4510
bellmount forest,NSW,2581
bells beach,VIC,3228
bells bridge,QLD,4570
bells creek,QLD,4551
bellthorpe,QLD,4514
belltrees,NSW,2337
belmont,WA,6984
belmont,WA,6104
belmont,QLD,4153
belmont,VIC,3216
belmont,NSW,2280
belmont north,NSW,2280
belmont south,NSW,2280
belmore,NSW,2192
belmore river,NSW,2440
belmunda,QLD,4740
beloka,NSW,2628
belowra,NSW,2545
belrose,NSW,2085
belrose west,NSW,2085
beltana,SA,5730
belton,SA,5432
belvedere,QLD,4860
belvidere,SA,5255
bemboka,NSW,2550
bemerside,QLD,4850
bemm river,VIC,3889
ben bullen,NSW,2790
ben lomond,TAS,7212
ben lomond,NSW,2365
bena,VIC,3946
benair,QLD,4610
benalla,VIC,3671
benalla,VIC,3672
benambra,VIC,3900
benandarah,NSW,2536
benaraby,QLD,4680
benarkin,QLD,4306
benarkin north,QLD,4306
benayeo,VIC,3319
benbournie,SA,5453
bencubbin,WA,6477
bend of islands,VIC,3097
bendalong,NSW,2539
bendemeer,NSW,2355
bendick murrell,NSW,2803
bendigo,VIC,3552
bendigo,VIC,3550
bendigo dc,VIC,3554
bendoc,VIC,3888
bendolba,NSW,2420
bendoura,NSW,2622
benerembah,NSW,2680
bengalla,NSW,2333
benger,WA,6223
bengworden,VIC,3875
benholme,QLD,4754
benjaberring,WA,6463
benjeroop,VIC,3579
benjinup,WA,6255
benloch,VIC,3435
bennett springs,WA,6063
bennetts green,NSW,2290
bennison,VIC,3960
benobble,QLD,4275
benolong,NSW,2818
benowa,QLD,4217
bensville,NSW,2251
bentleigh,VIC,3204
bentleigh east,VIC,3165
bentley,NSW,2480
bentley,WA,6102
bentley,WA,6982
bentley dc,WA,6102
bentley dc,WA,6983
bentley park,QLD,4869
bentley south,WA,6102
benwerrin,VIC,3235
berajondo,QLD,4674
berala,NSW,2141
berambing,NSW,2758
berat,QLD,4362
beremboke,VIC,3342
beresfield,NSW,2322
beresford,WA,6530
bergalia,NSW,2537
bergen,QLD,4353
berkeley,NSW,2506
berkeley vale,NSW,2261
berkshire park,NSW,2765
berkshire valley,WA,6510
berlang,NSW,2622
bermagui,NSW,2546
bernier island,WA,6701
berowra,NSW,2081
berowra creek,NSW,2082
berowra heights,NSW,2082
berowra waters,NSW,2082
berrambool,NSW,2548
berrara,NSW,2540
berremangra,NSW,2582
berri,SA,5343
berrico,NSW,2422
berridale,NSW,2628
berriedale,TAS,7011
berrigal,NSW,2390
berrigan,NSW,2712
berrilee,NSW,2159
berrima,NSW,2577
berrimah,NT,0828
berrimal,VIC,3518
berrinba,QLD,4117
berringa,VIC,3351
berringama,VIC,3691
berringer lake,NSW,2539
berriwillock,VIC,3531
berry,NSW,2535
berry jerry,NSW,2701
berry mountain,NSW,2535
berry park,NSW,2321
berry springs,NT,0838
berrybank,VIC,3323
berrys creek,VIC,3953
berserker,QLD,4701
berthong,NSW,2594
bertram,WA,6167
berwick,VIC,3806
beryl,NSW,2852
bessiebelle,VIC,3304
bet bet,VIC,3472
bete bolong,VIC,3888
bete bolong north,VIC,3888
bethanga,VIC,3691
bethania,QLD,4205
bethany,SA,5352
bethel,SA,5373
bethungra,NSW,2590
betley,VIC,3472
beulah,VIC,3395
beulah,TAS,7306
beulah park,SA,5067
bevendale,NSW,2581
beverford,VIC,3590
beveridge,VIC,3753
beverley,SA,5009
beverley,WA,6304
beverley park,NSW,2217
beverly hills,NSW,2209
bewong,NSW,2540
bexhill,NSW,2480
bexley,NSW,2207
bexley north,NSW,2207
bexley south,NSW,2207
biala,NSW,2581
biarra,QLD,4313
bibaringa,SA,5118
bibbenluke,NSW,2632
biboohra,QLD,4880
bibra lake,WA,6163
bibra lake dc,WA,6163
bibra lake dc,WA,6965
bicheno,TAS,7215
bickley,WA,6076
bickley vale,NSW,2570
bicton,WA,6157
biddaddaba,QLD,4275
biddelia,WA,6260
biddeston,QLD,4401
biddon,NSW,2827
bidgeemia,NSW,2642
bidwill,NSW,2770
bidwill,QLD,4650
bielsdown hills,NSW,2453
big bend,SA,5238
big desert,VIC,3490
big grove,WA,6330
big hill,NSW,2579
big hill,VIC,3231
big hill,VIC,3555
big jacks creek,NSW,2339
big pats creek,VIC,3799
big ridge,NSW,2330
big springs,NSW,2650
big yengo,NSW,2330
bigga,NSW,2583
biggara,VIC,3707
biggenden,QLD,4621
biggera waters,QLD,4216
biggs flat,SA,5153
bil bil,QLD,4626
bilambil,NSW,2486
bilambil heights,NSW,2486
bilbarin,WA,6375
bilbul,NSW,2680
bilgola beach,NSW,2107
bilgola plateau,NSW,2107
bilinga,QLD,4225
bilingurr,WA,6725
billa billa,QLD,4390
billabong,VIC,3858
billeroy,NSW,2829
billiatt,SA,5311
billilingra,NSW,2630
billimari,NSW,2804
billinudgel,NSW,2483
